3851130000;3851130023;"Сибирьтелеком"" Алтайский филиал";Новозоринский |Павловский |Алтайский край
3851133100;3851133499;Сибирьтелеком;Черемновский |Павловский |Алтайский край
3851133600;3851133959;Сибирьтелеком;Черемновский |Павловский |Алтайский край
3851460000;3851460999;НЭТКОМ;Камень - на - Оби |Алтайский край
3852200000;3852201999;Зап-СибТранстелеком;Барнаул |Алтайский край
3852202000;3852202999;Мобильные ТелеСистемы;Барнаул |Алтайский край
3852203000;3852209999;Зап-СибТранстелеком;Барнаул |Алтайский край
3852210000;3852219999;Алтай Саптел Регион;Барнаул |Алтайский край
3852220000;3852221899;АСУ-информ;Барнаул |Алтайский край
3852221900;3852222149;Зап-СибТранстелеком;Барнаул |Алтайский край
3852222150;3852223999;ДиалогСибирь-Барнаул;Барнаул |Алтайский край
3852224000;3852225899;АСУ-информ;Барнаул |Алтайский край
3852226000;3852226999;Дианэт;Барнаул |Алтайский край
3852227000;3852227999;ИНТЕРСВЯЗЬ.;Барнаул |Алтайский край
3852228000;3852228999;Милеком;Барнаул |Алтайский край
3852229000;3852229999;Мобильные ТелеСистемы;Барнаул |Алтайский край
3852230000;3852239999;Вымпел-Коммуникации;Барнаул |Алтайский край
3852240000;3852249999;Ростелеком;Барнаул |Алтайский край
3852250000;3852254999;Вымпел-Коммуникации;Барнаул |Алтайский край
3852255000;3852255499;Инфосвязь,;Барнаул |Алтайский край
3852255500;3852256499;РТКомм-Сибирь;Барнаул |Алтайский край
3852256500;3852256999;ПРЕСТИЖ-ИНТЕРНЕТ;Барнаул |Алтайский край
3852257000;3852258999;Зап-СибТранстелеком;Барнаул |Алтайский край
3852259000;3852259199;Стелла Коммьюникейшн;Барнаул |Алтайский край
3852259200;3852259499;Ростелеком;Барнаул |Алтайский край
3852259500;3852259999;ПРЕСТИЖ-ИНТЕРНЕТ;Барнаул |Алтайский край
3852260000;3852262999;Ростелеком;Барнаул |Алтайский край
3852263000;3852263999;Зап-СибТранстелеком;Барнаул |Алтайский край
3852264000;3852269999;Ростелеком;Барнаул |Алтайский край
3852270000;3852270999;МЕГАПОЛИС-ЛАЙН;Барнаул |Алтайский край
3852271000;3852279999;Мобильные ТелеСистемы;Барнаул |Алтайский край
3852280000;3852288999;Вымпел-Коммуникации;Барнаул |Алтайский край
3852289000;3852289999;Интелби;Барнаул |Алтайский край
3852290000;3852290499;Мобильные ТелеСистемы;Барнаул |Алтайский край
3852290500;3852291999;Ростелеком;Барнаул |Алтайский край
3852292000;3852293999;Российские железные дороги;Барнаул |Алтайский край
3852294000;3852295999;Ростелеком;Барнаул |Алтайский край
3852296000;3852296999;Вымпел-Коммуникации;Барнаул |Алтайский край
3852297000;3852298999;Ростелеком;Барнаул |Алтайский край
3852299000;3852299099;ПРЕСТИЖ-ИНТЕРНЕТ;Барнаул |Алтайский край
3852299100;3852299199;Ростелеком;Барнаул |Алтайский край
3852299200;3852299599;Государственная корпорация по организации воздушного движения в Российской Федерации;Барнаул |Алтайский край
3852299600;3852299999;ПРЕСТИЖ-ИНТЕРНЕТ;Барнаул |Алтайский край
3852300000;3852309999;АСВТ(Москва);Барнаул |Алтайский край
3852310000;3852319999;Ростелеком;Барнаул |Алтайский край
3852320000;3852329999;Астарта;Барнаул |Алтайский край
3852330000;3852346299;Ростелеком;Барнаул |Алтайский край
3852346300;3852346799;ПРЕСТИЖ-ИНТЕРНЕТ;Барнаул |Алтайский край
3852346800;3852379599;Ростелеком;Барнаул |Алтайский край
3852379600;3852379699;ДиалогСибирь-Барнаул;Барнаул |Алтайский край
3852379700;3852388499;Ростелеком;Барнаул |Алтайский край
3852388500;3852388599;ДиалогСибирь-Барнаул;Барнаул |Алтайский край
3852388600;3852389999;Ростелеком;Барнаул |Алтайский край
3852390000;3852390999;Енисейтелеком;Барнаул |Алтайский край
3852391000;3852391999;Ростелеком;Барнаул |Алтайский край
3852392000;3852392099;Эквант;Барнаул |Алтайский край
3852392100;3852394999;Ростелеком;Барнаул |Алтайский край
3852395000;3852396999;Енисейтелеком;Барнаул |Алтайский край
3852397000;3852398699;Ростелеком;Барнаул |Алтайский край
3852398700;3852398899;ИНТЕРСВЯЗЬ.;Барнаул |Алтайский край
3852398900;3852399099;Ростелеком;Барнаул |Алтайский край
3852399100;3852399179;Мобильные ТелеСистемы;Барнаул |Алтайский край
3852399180;3852399499;Ростелеком;Барнаул |Алтайский край
3852399500;3852399599;Эквант;Барнаул |Алтайский край
3852399600;3852449999;Ростелеком;Барнаул |Алтайский край
3852450000;3852459999;Вымпел-Коммуникации;Барнаул |Алтайский край
3852460000;3852499999;Ростелеком;Барнаул |Алтайский край
3852500000;3852509999;АВАНТЕЛ;Барнаул |Алтайский край
3852510000;3852528999;Ростелеком;Барнаул |Алтайский край
3852529000;3852529999;Вымпел-Коммуникации;Барнаул |Алтайский край
3852530000;3852531999;МегаФон;Барнаул |Алтайский край
3852532000;3852534999;Вымпел-Коммуникации;Барнаул |Алтайский край
3852535000;3852539999;Интелби;Барнаул |Алтайский край
3852540000;3852544863;Ростелеком;Барнаул |Алтайский край
3852544864;3852546863;Сибэнерготелеком;Барнаул |Алтайский край
3852546864;3852552223;Ростелеком;Барнаул |Алтайский край
3852553000;3852554999;Ростелеком;Барнаул |Алтайский край
3852555000;3852555999;ДиалогСибирь-Барнаул;Барнаул |Алтайский край
3852556000;3852565299;Ростелеком;Барнаул |Алтайский край
3852565300;3852565499;Связь Нового Поколения Алтай;Барнаул |Алтайский край
3852565600;3852565699;Гамма Телеком;Барнаул |Алтайский край
3852566000;3852569999;Дианэт;Барнаул |Алтайский край
3852570000;3852579999;МегаФон;Барнаул |Алтайский край
3852580000;3852589999;Мобильные ТелеСистемы;Барнаул |Алтайский край
3852590000;3852594999;ЭР-Телеком Холдинг;Барнаул |Алтайский край
3852599000;3852599999;Сибэнерготелеком;Барнаул |Алтайский край
3852600000;3852609999;Мобильные ТелеСистемы;Барнаул |Алтайский край
3852610000;3852689999;Ростелеком;Барнаул |Алтайский край
3852690000;3852699999;Енисейтелеком;Барнаул |Алтайский край
3852700000;3852716999;Ростелеком;Барнаул |Алтайский край
3852717000;3852717999;Вымпел-Коммуникации;Барнаул |Алтайский край
