АВС/ DEFОт;АВС/ DEFДо;Оператор;Регион
9000;90099999;Телеком Евразия;Краснодарский край
900100000;900199999;Смоленская Сотовая Связь;Тверская область
9001900000;9001909999;Скай-1800;Республика Адыгея
9001910000;9001919999;Скай-1800;Кабардино - Балкарская Республика
9001920000;9001929999;Скай-1800;Карачаево - Черкесская Республика
9001930000;9001939999;Скай-1800;Республика Северная Осетия - Алания
9001940000;9001949999;Скай-1800;Чеченская Республика
9001950000;9001959999;Скай-1800;Краснодарский край
9001960000;9001969999;Скай-1800;Республика Ингушетия
9001970000;9002169999;ЕКАТЕРИНБУРГ-2000;Свердловская область
9002170000;9002187999;Скай-1800;Чеченская Республика
9002190000;9002289999;Смоленская Сотовая Связь;Смоленская область
9002290000;9002989999;Телеком Евразия;Краснодарский край
9002990000;9002999999;Кодотел;Воронежская область
9003000000;9003099999;Вотек Мобайл;Воронежская область
9003100000;9003149999;Нижегородская сотовая связь;Саратовская область
9003150000;9003199999;Нижегородская сотовая связь;Пензенская область
9003200000;9003299999;Нижегородская сотовая связь;Республика Татарстан (Татарстан)
9003300000;9003349999;Нижегородская сотовая связь;Чувашская Республика
9003350000;9003449999;Новая телефонная компания;Приморский край
9003450000;9003549999;Телесет Лтд.;Калининградская область
9003550000;9003749999;Смоленская Сотовая Связь;Брянская область
9003750000;9003849999;ЕКАТЕРИНБУРГ-2000;Курганская область
9003850000;9003949999;ЕКАТЕРИНБУРГ-2000;Ханты - Мансийский-Югра автономный округ |Тюменская область
9003950000;9004049999;ЕКАТЕРИНБУРГ-2000;Ямало - Ненецкий автономный округ |Тюменская область
9004050000;9004149999;Сибирская Сотовая Связь;Магаданская область
9004150000;9004249999;Сибирская Сотовая Связь;Еврейская автономная область
9004250000;9004349999;Сибирская Сотовая Связь;Сахалинская область
9004350000;9004449999;Сибирская Сотовая Связь;Камчатский край
9004450000;9004459999;Сибирская Сотовая Связь;Чукотский автономный округ
9004460000;9004549999;Нижегородская сотовая связь;Ульяновская область
9004550000;9004649999;Санкт-Петербург Телеком;Республика Карелия
9004650000;9004650999;О.С.С.-Телеком;Коми - Пермяцкий автономный округ |Пермский край
9004651000;9004651999;О.С.С.-Телеком;Корякский автономный округ (Камчатская область) |Камчатский край
9004652000;9004652999;О.С.С.-Телеком;Эвенкийский автономный округ |Красноярский край
9004655000;9004664999;Нижегородская сотовая связь;Ульяновская область
9004665000;9004714999;Нижегородская сотовая связь;Пензенская область
9004715000;9004734999;Смоленская Сотовая Связь;Тверская область
9004735000;9004834999;Вотек Мобайл;Владимирская область
9004900000;9004999999;Вотек Мобайл;Тамбовская область
9005000000;9005199999;Скай-1800;Чеченская Республика
9005200000;9005299999;Вотек Мобайл;Кировская область
9005300000;9005399999;Санкт-Петербург Телеком;Вологодская область
9005400000;9005449999;Санкт-Петербург Телеком;Вологодская область
9005450000;9005559999;Скай-1800;Чеченская Республика
9005560000;9005609999;Санкт-Петербург Телеком;Вологодская область
9005610000;9005709999;Телесет Лтд.;Калининградская область
9005710000;9005809999;Смоленская Сотовая Связь;Калужская область
9009000000;9009009999;Скай-1800;Чеченская Республика
9009010000;9009109999;Вотек Мобайл;Рязанская область
9009110000;9009209999;Архангельские Мобильные Сети;Архангельская область
9009900000;9009999999;Санкт-Петербург Телеком;Псковская область
9010;9019999;Астарта;Ростовская область
90110000;90119999;Астарта;Республика Северная Осетия - Алания
90120000;90179999;Астарта;Краснодарский край
90180000;90199999;Астарта;Краснодарский край
901100000;901129999;Краснодарская сотовая связь;Республика Адыгея
901130000;901134999;Астарта;Республика Адыгея
901140000;901169999;Астарта;Краснодарский край
901170000;901199999;Ростелеком;Томская область
901200000;901209999;Скай Линк;Республика Дагестан
901920000;901929999;Астарта;Воронежская область
901930000;901939999;Астарта;Воронежская область
901940000;901949999;Астарта;Рязанская область
9011000000;9011019999;Астарта;Краснодарский край
9011020000;9011029999;Краснодарская сот связь;Краснодарский край
9011030000;9011059999;Астарта;Краснодарский край
9011060000;9011069999;Астарта;Ростовская область
9011070000;9011079999;Астарта;Краснодарский край
9011080000;9011089999;Мобильная сот.связь;Ставрополь |Ставропольский край
9011110000;9011119999;Енисейтелеком;Красноярский край
9011160000;9011169999;Кузбаск.сот. связь;Кемерово |Кемеровская область
9011210000;9011219999;Калужская сотовая связь;Калужская область
9011220000;9011229999;Калужская сотовая связь;Калужская область
9011230000;9011239999;Калужская сотовая связь;Калужская область
9011240000;9011249999;Северо-вост. Телеком;Калужская область
9011250000;9011259999;Калужская сотовая связь;Калужская область
9011260000;9011269999;Калужская сотовая связь;Калужская область
9011270000;9011279999;Астарта;Калужская область
9011280000;9011289999;Калужская сотовая связь;Калужская область
9011290000;9011299999;Кузбаск.сот. связь;Кемерово |Кемеровская область
9011310000;9011314999;Астарта;Волгоградская область
9011340000;9011349999;Астарта;Приморский край
9011380000;9011389999;Астарта;Приморский край
9011390000;9011399999;Арктик Регион Связь;Ук |Нижнеудинский |Иркутская область
9011420000;9011429999;Калужская сотовая связь;Калужская область
9011430000;9011439999;Калужская сотовая связь;Калужская область
9011440000;9011449999;Астарта;Астраханская область
9011450000;9011459999;Астарта;Калужская область
9011460000;9011469999;Калужская сотовая связь;Калужская область
9011470000;9011474999;Астарта;Калужская область
9011480000;9011489999;Калужская сотовая связь;Калужская область
9011490000;9011499999;Уралвестком;Свердловская область
9011500000;9011509999;Уралвестком;Свердловская область
9011520000;9011529999;Сот.св.Башкортостана;Уфа |Республика Башкортостан
9011530000;9011539999;МТТ Инвест;Оренбург |Оренбургская область
9011560000;9011569999;Астарта;Тюменская область
9011570000;9011579999;Удмурт.сот.сети-450;Ис |Нижняя Тура |Свердловская область
9011580000;9011589999;АПЕКС;Челябинская область
9011600000;9011609999;Регион. технич.центр;Ий |Тоджинский |Республика Тыва
9011610000;9011619999;Астарта;Владимирская область
9011800000;9011899999;Московская сотовая связь;Москва и Московская область
9011900000;9011909999;Астарта;Тверская область
9011910000;9011919999;Ростелеком;Ивановская область
9011920000;9011929999;Астарта;Владимирская область
9011930000;9011939999;Астарта;Воронежская область
9011940000;9011949999;Ростелеком;Ивановская область
9011950000;9011959999;Ростелеком;Ярославская область
9011960000;9011969999;Ростелеком;Костромская область
9011970000;9011979999;Ростелеком;Костромская область
9011980000;9011989999;Тульская сотовая радиотелефонная связь;Тульская область
9011990000;9011999999;Ростелеком;Ярославская область
9012010000;9012019999;Уралвестком;Свердловская область
9012100000;9012109999;Уралвестком;Свердловская область
9012200000;9012209999;Уралвестком;Свердловская область
9012300000;9012309999;Уралвестком;Свердловская область
9012400000;9012419999;Енисейтелеком;Красноярский край
9012420000;9012439999;Астарта;Кировская область
9012500000;9012519999;АПЕКС;Челябинская область
9012520000;9012539999;АПЕКС;Челябинская область
9012600000;9012609999;Региональный технический центр;Ханты - Мансийский-Югра автономный округ |Тюменская область
9012610000;9012619999;Региональный технический центр;Ханты - Мансийский-Югра автономный округ |Тюменская область
9012620000;9012639999;Астарта;Омская область
9012650000;9012699999;Ростелеком;Пермский край
9012900000;9012909999;Ростелеком;Ивановская область
9012990000;9012999999;Ростелеком;Ярославская область
9013000000;9013899999;Дельта Телеком;Санкт - Петербург и Ленинградская область
9013900000;9013909999;Калининградские Мобильные Сети;Калининградская область
9013910000;9013999999;Дельта Телеком;Санкт - Петербург и Ленинградская область
9014000000;9014099999;Московская сотовая связь;Москва и Московская область
9014100000;9014109999;Удмурт.сот.сети-450;Ижевск |Удмуртская Республика
9014110000;9014119999;Кузбаск.сот. связь;Кемерово |Кемеровская область
