3430000000;3430009999;Уралтелеком;Свердловская область
3430021649;3430021698;Екатеринбург-2000.;Тугулым |Тугулымский |Свердловская область
3431450000;3431451999;Екатеринбург-2000.;Краснотурьинск |Свердловская область
3431493100;3431493499;Территориальная генерирующая компания №9;Краснотурьинск |Свердловская область
3431552000;3431553999;Металлургический завод им. А.К. Серова;Серов |Свердловская область
3431554000;3431555999;Металлургический завод им. А.К. Серова;Серов |Свердловская область
3432000000;3432029999;ЕКАТЕРИНБУРГ-2000;Екатеринбург |Свердловская область
3432030000;3432079999;Ростелеком;Екатеринбург |Свердловская область
3432080000;3432099999;ЕКАТЕРИНБУРГ-2000;Екатеринбург |Свердловская область
3432100000;3432105929;Ростелеком;Екатеринбург |Свердловская область
3432105930;3432105939;Сеть цифровых каналов;Екатеринбург |Свердловская область
3432105940;3432109999;Ростелеком;Екатеринбург |Свердловская область
3432110000;3432110199;ВИЗ-Сталь;Екатеринбург |Свердловская область
3432110200;3432111099;"Компания ""Уралтранском";Екатеринбург |Свердловская область
3432111100;3432111199;Гамма Телеком;Екатеринбург |Свердловская область
3432111200;3432111999;Гамма Телеком;Екатеринбург |Свердловская область
3432112100;3432112299;Гамма Телеком;Екатеринбург |Свердловская область
3432112300;3432112799;ЛидерТелеком;Екатеринбург |Свердловская область
3432113000;3432116999;КОМСТАР-Регионы;Екатеринбург |Свердловская область
3432117000;3432119999;Ростелеком;Екатеринбург |Свердловская область
3432120000;3432129999;Ростелеком;Екатеринбург |Свердловская область
3432130000;3432139999;ЕКАТЕРИНБУРГ-2000;Екатеринбург |Свердловская область
3432140000;3432146999;МегаФон;Екатеринбург |Свердловская область
3432147000;3432147599;Ростелеком;Екатеринбург |Свердловская область
3432147600;3432147799;Сеть цифровых каналов;Екатеринбург |Свердловская область
3432147800;3432147999;"спецмонтажных работ на объектах агрокомплекса ""Агроспецмонтаж";Екатеринбург |Свердловская область
3432148000;3432148099;"Компания ""Эрланг";Екатеринбург |Свердловская область
3432148100;3432148199;"Компания ""Телематика";Екатеринбург |Свердловская область
3432148200;3432148699;"Компания ""Эрланг";Екатеринбург |Свердловская область
3432148700;3432148739;"Компания ""Телематика";Екатеринбург |Свердловская область
3432148740;3432148999;"Компания ""Эрланг";Екатеринбург |Свердловская область
3432149000;3432149099;РусКом;Екатеринбург |Свердловская область
3432149100;3432149699;Ростелеком;Екатеринбург |Свердловская область
3432149700;3432149999;Связьсервискомплект;Екатеринбург |Свердловская область
3432150000;3432159999;ЕКАТЕРИНБУРГ-2000;Екатеринбург |Свердловская область
3432160000;3432160419;КОМСТАР-Регионы;Екатеринбург |Свердловская область
3432160420;3432160439;Телефонная Компания - ЗЭТ;Екатеринбург |Свердловская область
3432160440;3432161159;КОМСТАР-Регионы;Екатеринбург |Свердловская область
3432161160;3432161160;Инсис;Екатеринбург |Свердловская область
3432161161;3432161643;КОМСТАР-Регионы;Екатеринбург |Свердловская область
3432161644;3432161644;Инсис;Екатеринбург |Свердловская область
3432161645;3432161661;КОМСТАР-Регионы;Екатеринбург |Свердловская область
3432161662;3432161662;Инсис;Екатеринбург |Свердловская область
3432161663;3432162189;КОМСТАР-Регионы;Екатеринбург |Свердловская область
3432162190;3432162199;"Телефонная компания ""Связь-Комплект";Екатеринбург |Свердловская область
3432162200;3432162819;КОМСТАР-Регионы;Екатеринбург |Свердловская область
3432162820;3432162829;Телефонная Компания - ЗЭТ;Екатеринбург |Свердловская область
3432162830;3432163399;КОМСТАР-Регионы;Екатеринбург |Свердловская область
3432163400;3432163499;КОМСТАР-Регионы;Екатеринбург |Свердловская область
3432163500;3432163619;КОМСТАР-Регионы;Екатеринбург |Свердловская область
3432163620;3432163629;Инсис;Екатеринбург |Свердловская область
3432163630;3432163699;КОМСТАР-Регионы;Екатеринбург |Свердловская область
3432163700;3432163719;"Телефонная компания ""Связь-Комплект";Екатеринбург |Свердловская область
3432163720;3432165019;КОМСТАР-Регионы;Екатеринбург |Свердловская область
3432165020;3432165029;Телефонная Компания - ЗЭТ;Екатеринбург |Свердловская область
3432165030;3432165089;КОМСТАР-Регионы;Екатеринбург |Свердловская область
3432165090;3432165099;Телефонная Компания - ЗЭТ;Екатеринбург |Свердловская область
3432165100;3432165119;КОМСТАР-Регионы;Екатеринбург |Свердловская область
3432165120;3432165129;Инсис;Екатеринбург |Свердловская область
3432165130;3432165179;КОМСТАР-Регионы;Екатеринбург |Свердловская область
3432165180;3432165199;Инсис;Екатеринбург |Свердловская область
3432165200;3432165299;КОМСТАР-Регионы;Екатеринбург |Свердловская область
3432165300;3432165309;Инсис;Екатеринбург |Свердловская область
3432165310;3432165359;КОМСТАР-Регионы;Екатеринбург |Свердловская область
3432165360;3432165369;Телефонная Компания - ЗЭТ;Екатеринбург |Свердловская область
3432165370;3432165389;Инсис;Екатеринбург |Свердловская область
3432165390;3432165399;"Телефонная компания ""Связь-Комплект";Екатеринбург |Свердловская область
3432165400;3432165749;КОМСТАР-Регионы;Екатеринбург |Свердловская область
3432165750;3432165759;Интерсвязь;Екатеринбург |Свердловская область
3432165760;3432166019;КОМСТАР-Регионы;Екатеринбург |Свердловская область
3432166020;3432166020;Инсис;Екатеринбург |Свердловская область
3432166021;3432166099;КОМСТАР-Регионы;Екатеринбург |Свердловская область
3432166100;3432166199;Научно-производственное объединение Уралпроектавтоматика;Екатеринбург |Свердловская область
3432166200;3432166339;КОМСТАР-Регионы;Екатеринбург |Свердловская область
3432166340;3432166349;Интерсвязь;Екатеринбург |Свердловская область
3432166350;3432166499;КОМСТАР-Регионы;Екатеринбург |Свердловская область
3432166500;3432166579;Телефонная Компания - ЗЭТ;Екатеринбург |Свердловская область
3432166580;3432166609;КОМСТАР-Регионы;Екатеринбург |Свердловская область
3432166610;3432166614;Телефонная Компания - ЗЭТ;Екатеринбург |Свердловская область
3432166615;3432167029;КОМСТАР-Регионы;Екатеринбург |Свердловская область
3432167030;3432167039;"Телефонная компания ""Связь-Комплект";Екатеринбург |Свердловская область
3432167040;3432167049;Интерсвязь;Екатеринбург |Свердловская область
3432167050;3432167059;Интерсвязь;Екатеринбург |Свердловская область
3432167060;3432167249;КОМСТАР-Регионы;Екатеринбург |Свердловская область
3432167250;3432167269;Телефонная Компания - ЗЭТ;Екатеринбург |Свердловская область
3432167270;3432168469;КОМСТАР-Регионы;Екатеринбург |Свердловская область
3432168470;3432168484;"Телефонная компания ""Связь-Комплект";Екатеринбург |Свердловская область
3432168485;3432168889;КОМСТАР-Регионы;Екатеринбург |Свердловская область
3432168890;3432168899;"Телефонная компания ""Связь-Комплект";Екатеринбург |Свердловская область
3432168900;3432169589;КОМСТАР-Регионы;Екатеринбург |Свердловская область
3432169590;3432169599;Телефонная Компания - ЗЭТ;Екатеринбург |Свердловская область
3432169600;3432169769;КОМСТАР-Регионы;Екатеринбург |Свердловская область
3432169770;3432169799;Инсис;Екатеринбург |Свердловская область
3432169800;3432171194;КОМСТАР-Регионы;Екатеринбург |Свердловская область
3432171195;3432171195;"Телефонная компания ""Связь-Комплект";Екатеринбург |Свердловская область
3432171196;3432172479;КОМСТАР-Регионы;Екатеринбург |Свердловская область
3432172480;3432172489;"Телефонная компания ""Связь-Комплект";Екатеринбург |Свердловская область
3432172490;3432172599;КОМСТАР-Регионы;Екатеринбург |Свердловская область
3432172600;3432172619;"Телефонная компания ""Связь-Комплект";Екатеринбург |Свердловская область
3432172620;3432172909;КОМСТАР-Регионы;Екатеринбург |Свердловская область
3432172910;3432172919;"Телефонная компания ""Связь-Комплект";Екатеринбург |Свердловская область
3432172920;3432173299;КОМСТАР-Регионы;Екатеринбург |Свердловская область
3432173300;3432173316;КОМСТАР-Регионы;Екатеринбург |Свердловская область
3432173317;3432173317;КОМСТАР-Регионы;Екатеринбург |Свердловская область
3432173318;3432173332;КОМСТАР-Регионы;Екатеринбург |Свердловская область
3432173333;3432173333;КОМСТАР-Регионы;Екатеринбург |Свердловская область
3432173334;3432173499;КОМСТАР-Регионы;Екатеринбург |Свердловская область
3432173500;3432173799;КОМСТАР-Регионы;Екатеринбург |Свердловская область
3432173800;3432173812;КОМСТАР-Регионы;Екатеринбург |Свердловская область
3432173813;3432174060;КОМСТАР-Регионы;Екатеринбург |Свердловская область
3432174061;3432174061;"Телефонная компания ""Связь-Комплект";Екатеринбург |Свердловская область
3432174062;3432174308;КОМСТАР-Регионы;Екатеринбург |Свердловская область
3432174309;3432174309;"Телефонная компания ""Связь-Комплект";Екатеринбург |Свердловская область
3432174310;3432174982;КОМСТАР-Регионы;Екатеринбург |Свердловская область
3432174983;3432174989;"Телефонная компания ""Связь-Комплект";Екатеринбург |Свердловская область
3432174990;3432176299;КОМСТАР-Регионы;Екатеринбург |Свердловская область
3432176300;3432176399;"Научно-технический центр ""ИНТЕК""";Екатеринбург |Свердловская область
3432176400;3432178097;КОМСТАР-Регионы;Екатеринбург |Свердловская область
3432178098;3432178098;"Телефонная компания ""Связь-Комплект";Екатеринбург |Свердловская область
3432178099;3432178107;КОМСТАР-Регионы;Екатеринбург |Свердловская область
3432178108;3432178108;"Телефонная компания ""Связь-Комплект";Екатеринбург |Свердловская область
3432178109;3432178119;КОМСТАР-Регионы;Екатеринбург |Свердловская область
