8610740000;8610749999;ЮТК;Краснодарский край
8612000000;8612000999;Ирбис Телекоммуникейшнс;Краснодар |Краснодарский край
8612001000;8612001999;КУБАНЬ-ТЕЛЕКОМ;Краснодар |Краснодарский край
8612002000;8612002499;МАСТЕРТЕЛ;Краснодар |Краснодарский край
8612002500;8612002999;ПРЕСТИЖ-ИНТЕРНЕТ;Краснодар |Краснодарский край
8612003000;8612005999;Газпром телеком;Краснодар |Краснодарский край
8612006000;8612008999;Ирбис Телекоммуникейшнс;Краснодар |Краснодарский край
8612009000;8612009999;КомЛинк;Краснодар |Краснодарский край
8612010000;8612010999;Кавказ-Транстелеком;Краснодар |Краснодарский край
8612011000;8612011199;КомЛинк;Краснодар |Краснодарский край
8612011200;8612012199;Реалком-Юг;Краснодар |Краснодарский край
8612012200;8612012699;ПРЕСТИЖ-ИНТЕРНЕТ;Краснодар |Краснодарский край
8612013000;8612013999;Синтерра-Юг;Краснодар |Краснодарский край
8612014000;8612014999;Медиагранд;Краснодар |Краснодарский край
8612015000;8612015999;ЭнергоТелеком-Юг;Краснодар |Краснодарский край
8612016000;8612016199;ПРЕСТИЖ-ИНТЕРНЕТ;Краснодар |Краснодарский край
8612016200;8612018199;РН-Информ;Краснодар |Краснодарский край
8612018200;8612018699;Манго Телеком;Краснодар |Краснодарский край
8612018700;8612018999;ПРЕСТИЖ-ИНТЕРНЕТ;Краснодар |Краснодарский край
8612019000;8612019999;КУБАНЬ-ТЕЛЕКОМ;Краснодар |Краснодарский край
8612020000;8612020049;Юг-Линк;Краснодар |Краснодарский край
8612020050;8612020110;Юг-Линк;Краснодар |Краснодарский край
8612020111;8612020299;Юг-Линк;Краснодар |Краснодарский край
8612020300;8612020310;Юг-Линк;Краснодар |Краснодарский край
8612020311;8612022219;Юг-Линк;Краснодар |Краснодарский край
8612022220;8612022230;Юг-Линк;Краснодар |Краснодарский край
8612022231;8612025000;Юг-Линк;Краснодар |Краснодарский край
8612025500;8612025599;Гамма Телеком;Краснодар |Краснодарский край
8612026000;8612026999;Сумма Телеком;Краснодар |Краснодарский край
8612027000;8612027999;Наша сеть;Краснодар |Краснодарский край
8612028000;8612028999;Наша сеть;Краснодар |Краснодарский край
8612029900;8612029999;Гамма Телеком;Краснодар |Краснодарский край
8612030000;8612032999;Стартел.Ру-Кубань;Краснодар |Краснодарский край
8612033300;8612033399;Гамма Телеком;Краснодар |Краснодарский край
8612033400;8612037399;Квантум;Краснодар |Краснодарский край
8612037400;8612038399;МТел;Краснодар |Краснодарский край
8612040000;8612049999;МСН Телеком;Краснодар |Краснодарский край
8612100000;8612106299;Вымпел-Коммуникации;Краснодар |Краснодарский край
8612106300;8612106399;Эффективные Сетевые Технологии;Краснодар |Краснодарский край
8612106400;8612109999;Вымпел-Коммуникации;Краснодар |Краснодарский край
8612110000;8612112699;МИР Телеком;Краснодар |Краснодарский край
8612112700;8612112999;Кубанский бассейновый узел связи,вычислительной техники и радионавигации;Краснодар |Краснодарский край
8612113000;8612114099;МИР Телеком;Краснодар |Краснодарский край
8612114100;8612114999;Кубанский бассейновый узел связи,вычислительной техники и радионавигации;Краснодар |Краснодарский край
8612115000;8612115999;РОЙЛКОМ;Краснодар |Краснодарский край
8612116000;8612116799;РОЙЛКОМ;Краснодар |Краснодарский край
8612116800;8612116999;РН-Информ;Краснодар |Краснодарский край
8612117000;8612117999;Ростелеком;Краснодар |Краснодарский край
8612118000;8612119999;Астарта;Краснодар |Краснодарский край
8612120000;8612122999;Ростелеком;Краснодар |Краснодарский край
8612124000;8612124999;Ростелеком;Краснодар |Краснодарский край
8612125000;8612129999;ТелеМакс;Краснодар |Краснодарский край
8612130100;8612130599;Газпром телеком;Краснодар |Краснодарский край
8612130700;8612130999;Газпром телеком;Краснодар |Краснодарский край
8612131000;8612131999;Газпром телеком;Краснодар |Краснодарский край
8612133100;8612133999;Ростелеком;Краснодар |Краснодарский край
8612134000;8612134199;ЛУКОЙЛ-ИНФОРМ;Краснодар |Краснодарский край
8612134200;8612136999;Ростелеком;Краснодар |Краснодарский край
8612137000;8612138999;Кубань он Лайн;Краснодар |Краснодарский край
8612139000;8612139999;Ростелеком;Краснодар |Краснодарский край
8612140000;8612140999;ММП Комьюникейшнз;Краснодар |Краснодарский край
8612141000;8612146999;Ростелеком;Краснодар |Краснодарский край
8612147000;8612148499;Российские железные дороги;Краснодар |Краснодарский край
8612148500;8612149699;Ростелеком;Краснодар |Краснодарский край
8612149700;8612149999;Эквант;Краснодар |Краснодарский край
8612150000;8612159999;Мобильные ТелеСистемы;Краснодар |Краснодарский край
8612160000;8612160999;Кубаньгазпром;Краснодар |Краснодарский край
8612161000;8612161999;Кубаньгазпром;Краснодар |Краснодарский край
8612162000;8612162999;Кубаньгазпром;Краснодар |Краснодарский край
8612163000;8612163999;Кубаньгазпром;Краснодар |Краснодарский край
8612164000;8612169999;Мобильные ТелеСистемы;Краснодар |Краснодарский край
8612170000;8612170999;Юг-Линк;Краснодар |Краснодарский край
8612171000;8612175999;Телеком Евразия;Краснодар |Краснодарский край
8612177700;8612177799;Гамма Телеком;Краснодар |Краснодарский край
8612178000;8612179999;Ростелеком;Краснодар |Краснодарский край
8612184904;8612184999;Ростелеком;Краснодар |Краснодарский край
8612185000;8612187799;Телеком Евразия;Краснодар |Краснодарский край
8612187800;8612190999;Ростелеком;Краснодар |Краснодарский край
8612191000;8612191999;Ростелеком;Краснодар |Краснодарский край
8612192000;8612192999;Ростелеком;Краснодар |Краснодарский край
8612193000;8612194199;Открытые системы;Краснодар |Краснодарский край
8612194200;8612194599;Ростелеком;Краснодар |Краснодарский край
8612194600;8612194999;Открытые системы;Краснодар |Краснодарский край
8612195000;8612195999;Южный ТЕЛЕКОМ;Краснодар |Краснодарский край
8612197000;8612197099;Ростелеком;Краснодар |Краснодарский край
8612197100;8612197139;Кубань он Лайн;Краснодар |Краснодарский край
8612197140;8612197199;Кубань он Лайн;Краснодар |Краснодарский край
8612197200;8612197899;Ростелеком;Краснодар |Краснодарский край
8612197900;8612197999;ИнФармТех;Краснодар |Краснодарский край
8612198150;8612198449;Краснодарский нефтеперерабатывающий завод - Краснодарэконефть;Краснодар |Краснодарский край
8612198450;8612198499;Ростелеком;Краснодар |Краснодарский край
8612198500;8612198539;Кубань он Лайн;Краснодар |Краснодарский край
8612198540;8612198599;Ростелеком;Краснодар |Краснодарский край
8612198600;8612198699;Связь объектов транспорта и добычи нефти;Краснодар |Краснодарский край
8612198700;8612198899;Ростелеком;Краснодар |Краснодарский край
