8771520000;8771529999;ЮТК (Ростов);Республика Адыгея
8772200000;8772209999;АСВТ(Москва);Майкоп |Республика Адыгея
8772210000;8772214999;Медиагранд;Майкоп |Республика Адыгея
8772220000;8772220999;Межрегиональный ТранзитТелеком;Майкоп |Республика Адыгея
8772512000;8772517527;Ростелеком;Майкоп |Республика Адыгея
8772520000;8772579999;Ростелеком;Майкоп |Республика Адыгея
8772592000;8772592999;Адыгейская телефонная компания;Майкоп |Республика Адыгея
8772593000;8772593999;Ростелеком;Майкоп |Республика Адыгея
8772595000;8772597999;Ростелеком;Майкоп |Республика Адыгея
8777091000;8777091999;Ростелеком;Кошехабльский |Республика Адыгея
8777092100;8777092999;Ростелеком;Кошехабльский |Республика Адыгея
8777093100;8777093199;Ростелеком;Кошехабльский |Республика Адыгея
8777093210;8777093259;Ростелеком;Кошехабльский |Республика Адыгея
8777093310;8777093359;Ростелеком;Кошехабльский |Республика Адыгея
8777093410;8777093459;Ростелеком;Кошехабльский |Республика Адыгея
8777093500;8777093699;Ростелеком;Кошехабльский |Республика Адыгея
8777094500;8777094599;Ростелеком;Кошехабльский |Республика Адыгея
8777094610;8777094659;Ростелеком;Кошехабльский |Республика Адыгея
8777095100;8777095499;Ростелеком;Кошехабльский |Республика Адыгея
8777096700;8777096799;Ростелеком;Кошехабльский |Республика Адыгея
8777097110;8777097159;Ростелеком;Кошехабльский |Республика Адыгея
8777097600;8777097699;Ростелеком;Кошехабльский |Республика Адыгея
8777097800;8777097899;Ростелеком;Кошехабльский |Республика Адыгея
8777099200;8777099299;Ростелеком;Кошехабльский |Республика Адыгея
8777099310;8777099359;Ростелеком;Кошехабльский |Республика Адыгея
8777099400;8777099499;Ростелеком;Кошехабльский |Республика Адыгея
8777140000;8777140047;Ростелеком;Тахтамукайский |Республика Адыгея
8777141000;8777145047;Ростелеком;Тахтамукайский |Республика Адыгея
8777146000;8777146511;Ростелеком;Тахтамукайский |Республика Адыгея
8777146600;8777146699;Ростелеком;Тахтамукайский |Республика Адыгея
8777146700;8777146709;Ростелеком;Тахтамукайский |Республика Адыгея
8777146710;8777146759;Ростелеком;Тахтамукайский |Республика Адыгея
8777146760;8777146919;Ростелеком;Тахтамукайский |Республика Адыгея
